PSO,TLBO
33.69404700110124,30.470716985058743
31.85761707353993,31.02720404540059
20.999175705012618,33.234328813035816
21.373042585312614,36.43213284906684
28.810566086108853,32.41058034661976
28.360486618101678,31.567234087316038
23.92248180796238,31.108799484418558
31.127556586065815,31.664175198232474
25.487550180370057,33.58352943907108
28.041220633403842,34.106334344450374
20.50451335382095,29.74004411550305
23.468594971547212,32.47929938597142
35.23877219589005,30.681925278717518
26.171978254445847,33.544745532020514
28.66315604158444,30.56589235825371
22.374739187936658,32.95043024684392
29.470553239517514,32.28160504446732
29.095682773878387,29.336300758936204
33.22219418109424,31.205055749121758
33.704140072446165,31.232490921907925
23.63677360675811,32.189250213743264
29.691001261036625,31.678541140448726
25.19176500338274,33.18377604029298
33.543285138190726,32.58703579480662
22.430410460712622,35.387506725190974
26.547223142844818,34.269932187519814
20.54596879793797,29.36268554511828
30.32119293736181,34.31197772163143
30.91487856860866,30.18421624154013
20.97007995191329,32.48207236662395
29.44101940248819,29.566615763136323
29.42366856906731,26.542319204933268
31.279413110219938,31.762890723147848
27.80477907852568,31.763754920643567
27.327335125272985,31.29994492467998
21.833010902495968,30.79331366309971
25.184653426126147,35.71393070129626
29.889121179241034,34.08511566418974
30.780151269258024,33.35435042428049
30.65572607268696,31.146084716804907
30.048407811291135,28.81229527945803
37.93731797209122,29.123155099321398
21.680430583484565,33.18669215184007
35.1273738922169,34.10854197109042
23.804952274091217,34.92469032559299
26.5586880962328,31.117439775261882
32.93003698270878,31.722274568607858
23.902220719209915,30.769781582180098
26.212027817726366,34.677660932322524
24.56629721535339,27.524669409835827
36.57584478733876,30.69846512877983
33.20459796656791,30.25732039799955
26.571948538700926,33.252788102031374
22.633805888141477,29.801844752756622
29.671588667081096,29.662425739049283
27.81541578269346,30.047108314580008
30.78359735652542,27.54889168700108
25.62211698760357,32.50387722137385
20.54443326754124,29.848509450298014
39.395799162133045,33.22875636002731
31.41761803831664,32.656133167238714
27.270402720069217,30.81702282168318
30.78705222930896,32.46666190901268
25.071793114306853,29.91508574977771
