Training,Testing
11.552736963229785,28.63766009416997
11.872348952495278,32.794652092993296
11.813215431249542,20.83358276627374
11.527515222122252,22.62051261650852
11.666910174600904,26.2676833998872
12.19273221613851,21.49137042897378
11.825518934698998,25.309143829150923
12.711739082963582,22.22828870762371
12.959903270997717,23.9610712483204
11.781476807910371,26.21494344791552
11.806605842465828,20.40455999458984
11.7311071571933,22.450186232814907
11.714742683476707,28.82993263843625
13.449696659343143,23.767800392947844
12.310510257843887,31.19343894604705
12.36705164101754,30.730365634723935
12.304430653686849,27.21887457110949
13.519295092583933,23.30456188703153
11.984166930689076,34.50413340057133
11.652743296285864,22.03525623010894
11.762243571144728,29.887384277021532
12.04000590595534,21.18633472093238
11.792600133856379,26.249507363921282
12.635162657185187,21.84737089619604
12.562615256648433,22.50389851464
11.619068200637873,28.569808290653512
12.286284203062701,33.428657659272545
12.17038757008151,33.228271587125306
11.65302822568437,30.23300902455514
11.872293758968041,29.57116615563191
11.839095280619107,31.80586838983916
11.964694447121007,21.592295423373113
11.52976924831808,22.17718053934397
12.105897412768517,29.565066843726683
12.235168761153451,25.465179168570753
11.846215441766583,33.16435819583416
11.726808715942118,24.659593721080785
11.786615474198683,28.282501819226027
13.327782374530502,23.17354940513566
12.070339825801545,33.89510595788179
11.99963695311312,28.305986443646404
11.825366602286989,24.74037225832101
12.424822391693136,34.019337945379114
11.976145925647003,26.063271330539134
11.765722560986932,26.049318798383275
11.945593744702679,20.85341407551125
11.83285357286089,25.04603492011047
11.779612618379968,25.241813092503754
13.861140538644777,24.839440033040443
12.09278202665375,20.784488428914685
11.673735698213775,20.931416284209647
11.366353942211571,28.573483497825507
11.55825838942563,31.121810952484804
11.931104662182394,28.722874018522422
12.566571591320729,35.97822706887876
12.800558011836983,34.489909199536754
11.610149532356697,28.654850589975148
12.201375846897742,21.61962285029302
12.928625520595777,26.0446705377413
12.39162345375572,25.613078960298694
11.804241036430584,32.1745532516928
11.604269008829705,33.99538555136342
11.882955101736284,31.361602351532053
11.646665368204385,24.295221034871485
12.664250535830526,21.647689278105425
11.817896529241793,24.887766415464295
11.91067865664417,24.919767584639647
12.354145716317214,26.971863947213645
11.83587031295721,27.57006886344659
11.82364201545968,31.74552225184218
